# commentaires.csv V1.0.1 - 26/12/2025 13:46:08;;;
fil qui pique;Vérifier la longueur du fil distal, envisager un recourbement ou une coupe.;gpt4o;Vérifier la longueur du fil distal, envisager un recourbement ou une coupe.
gingivite;Surveillez l'hygiène buccale et envisagez un détartrage pour prévenir l'inflammation gingivale.;gpt4o;Surveillez l'hygiène buccale et envisagez un détartrage pour prévenir l'inflammation gingivale.
herbst;L'appareil Herbst corrige la classe II en avançant la mandibule, stabilisant l'occlusion.;gpt4o;L'appareil Herbst corrige la classe II en avançant la mandibule, stabilisant l'occlusion.
incisive;Contrôle l'alignement incisif pour éviter récidive post-traitement.;gpt4o;Contrôle l'alignement incisif pour éviter récidive post-traitement.
incisive centrale;Surveillez l'alignement et la rotation pour éviter diastème ou chevauchement.;gpt4o;Surveillez l'alignement et la rotation pour éviter diastème ou chevauchement.
inclusion;Surveillance radiologique régulière nécessaire pour détection précoce et planification du traitement.;gpt4o;Surveillance radiologique régulière nécessaire pour détection précoce et planification du traitement.
infraclusion;Surveillance nécessaire. peut nécessiter une intervention si elle affecte l'occlusion fonctionnelle.;gpt4o;Surveillance nécessaire. peut nécessiter une intervention si elle affecte l'occlusion fonctionnelle.
infraposition;Surveillance nécessaire pour éviter l'ankylose ou la résorption radiculaire.;gpt4o;Surveillance nécessaire pour éviter l'ankylose ou la résorption radiculaire.
ingression;L'ingression réduit l'extrusion dentaire, optimisant l'occlusion et la fonction masticatoire.;gpt4o;L'ingression réduit l'extrusion dentaire, optimisant l'occlusion et la fonction masticatoire.
interposition linguale;L'interposition linguale peut entraîner une malocclusion antérieure.;gpt4o;L'interposition linguale peut entraîner une malocclusion antérieure.
latérodéviation gauche mandibulaire;Vérifier l'occlusion et évaluer le besoin d'une correction fonctionnelle.;gpt4o;Vérifier l'occlusion et évaluer le besoin d'une correction fonctionnelle.
ligature;Assurez-vous que les ligatures sont bien serrées pour un contrôle optimal de l'arc orthodontique.;gpt4o;Assurez-vous que les ligatures sont bien serrées pour un contrôle optimal de l'arc orthodontique.
ligature amovible fixe;Assure une tension adéquate pour éviter les déplacements dentaires indésirables.;gpt4o;Assure une tension adéquate pour éviter les déplacements dentaires indésirables.
linguo-version;La linguo-version désigne une inclinaison linguale des dents.;gpt4o;La linguo-version désigne une inclinaison linguale des dents.
luxation;Vérifiez l'intégrité des ligaments périodontaux et réalisez une contention stabilisatrice.;gpt4o;Vérifiez l'intégrité des ligaments périodontaux et réalisez une contention stabilisatrice.
luxation méniscale;Surveillez les bruits articulaires, douleur et fonction mandibulaire.;gpt4o;Surveillez les bruits articulaires, douleur et fonction mandibulaire.
macrodontie;Surveiller la macrodontie pour éviter l'encombrement dentaire et planifier une extraction si nécessaire.;gpt4o;Surveiller la macrodontie pour éviter l'encombrement dentaire et planifier une extraction si nécessaire.
macrognathie;Évaluer l'occlusion et envisager une chirurgie orthognathique si nécessaire.;gpt4o;Évaluer l'occlusion et envisager une chirurgie orthognathique si nécessaire.
mainteneur d'espace;Assure l'intégrité de l'arcade après une extraction prématurée.;gpt4o;Assure l'intégrité de l'arcade après une extraction prématurée.
mainteneur d'espace modéré;Assure une rétention efficace post-extraction, prévient la migration dentaire.;gpt4o;Assure une rétention efficace post-extraction, prévient la migration dentaire.
maladie parodontale;Surveiller l'inflammation, renforcer l'hygiène, éviter les mouvements dentaires excessifs.;gpt4o;Surveiller l'inflammation, renforcer l'hygiène, éviter les mouvements dentaires excessifs.
malocclusion;Évaluer l'alignement dentaire, envisager l'appareillage correctif.;gpt4o;Évaluer l'alignement dentaire, envisager l'appareillage correctif.
malocclusion droite;Évaluer l'occlusion croisée, vérifier l'alignement dentaire et plan de traitement.;gpt4o;Évaluer l'occlusion croisée, vérifier l'alignement dentaire et plan de traitement.
malposition maxillaire;Considérer l'expansion maxillaire pour corriger l'occlusion et améliorer la fonction.;gpt4o;Considérer l'expansion maxillaire pour corriger l'occlusion et améliorer la fonction.
microdontie;Évaluer l'espace disponible pour ajuster l'arcade en cas de microdontie.;gpt4o;Évaluer l'espace disponible pour ajuster l'arcade en cas de microdontie.
micrognathie;Considérer l'expansion maxillaire ou la traction orthopédique pour corriger la micrognathie.;gpt4o;Considérer l'expansion maxillaire ou la traction orthopédique pour corriger la micrognathie.
minivis;Les minivis offrent une ancrage temporaire optimal pour les déplacements dentaires complexes.;gpt4o;Les minivis offrent une ancrage temporaire optimal pour les déplacements dentaires complexes.
molaire;Surveille l'alignement des molaires pour éviter les malocclusions et assurer une occlusion fonctionnelle.;gpt4o;Surveille l'alignement des molaires pour éviter les malocclusions et assurer une occlusion fonctionnelle.
mésialisation;Facilite la fermeture des espaces post-extractionnels en déplaçant les dents vers l'avant.;gpt4o;Facilite la fermeture des espaces post-extractionnels en déplaçant les dents vers l'avant.
mésialisation nocturne;Surveillez l'occlusion pour éviter une interférence occlusale.;gpt4o;Surveillez l'occlusion pour éviter une interférence occlusale.
métal;Utilisé pour les bagues, le métal offre robustesse et efficacité dans le traitement orthodontique.;gpt4o;Utilisé pour les bagues, le métal offre robustesse et efficacité dans le traitement orthodontique.
niti;Le fil NiTi offre une mémoire de forme et une force légère constante, idéal pour le niveau initial.;gpt4o;Le fil NiTi offre une mémoire de forme et une force légère constante, idéal pour le niveau initial.
nécrose pulpaire;Surveiller la vitalité dentaire et évaluer un possible traitement endodontique.;gpt4o;Surveiller la vitalité dentaire et évaluer un possible traitement endodontique.
occlusion croisée;L'occlusion croisée nécessite une expansion maxillaire pour corriger l'alignement dentaire.;gpt4o;L'occlusion croisée nécessite une expansion maxillaire pour corriger l'alignement dentaire.
occlusion inversée;Considérer une expansion maxillaire pour corriger la relation de classe III.;gpt4o;Considérer une expansion maxillaire pour corriger la relation de classe III.
onychophagie;L'onychophagie peut altérer l'occlusion par usure dentaire et modifier la position des incisives.;gpt4o;L'onychophagie peut altérer l'occlusion par usure dentaire et modifier la position des incisives.
ostéotomie;L'ostéotomie optimise l'alignement maxillo-facial, améliorant fonction et esthétique.;gpt4o;L'ostéotomie optimise l'alignement maxillo-facial, améliorant fonction et esthétique.
panoramique;Analysez les racines et l'alignement dentaire global pour planifier le traitement.;gpt4o;Analysez les racines et l'alignement dentaire global pour planifier le traitement.
pendulum;Le pendulum corrige les classes II en distalant les molaires maxillaires.;gpt4o;Le pendulum corrige les classes II en distalant les molaires maxillaires.
phonation;Évaluer l'occlusion et la position linguale pour optimiser la phonation du patient.;gpt4o;Évaluer l'occlusion et la position linguale pour optimiser la phonation du patient.
plaque amovible;Améliore la correction des malocclusions mineures chez l'enfant. Contrôle régulier nécessaire.;gpt4o;Améliore la correction des malocclusions mineures chez l'enfant. Contrôle régulier nécessaire.
plaque papillon;Plaque papillon : facilite l'expansion transverse, ajustable et confortable pour le patient.;gpt4o;Plaque papillon : facilite l'expansion transverse, ajustable et confortable pour le patient.
plaque y;La plaque Y favorise l'expansion maxillaire et corrige la classe III.;gpt4o;La plaque Y favorise l'expansion maxillaire et corrige la classe III.
plaque éventail;Optimise l'expansion transversale maxillaire, adaptée pour patients en croissance.;gpt4o;Optimise l'expansion transversale maxillaire, adaptée pour patients en croissance.
proalvéolie;Proalvéolie : incisives trop vestibulées. Vérifier le surplomb antérieur.;gpt4o;Proalvéolie : incisives trop vestibulées. Vérifier le surplomb antérieur.
proalvéolie mandibulaire;Corriger par ancrage distal, vérifier la réciprocité occlusale.;gpt4o;Corriger par ancrage distal, vérifier la réciprocité occlusale.
proglissement;Le proglissement nécessite une analyse occlusale pour ajuster le plan de traitement.;gpt4o;Le proglissement nécessite une analyse occlusale pour ajuster le plan de traitement.
prognathisme mandibulaire;Considérer une chirurgie orthognathique pour corriger la dysmorphie.;gpt4o;Considérer une chirurgie orthognathique pour corriger la dysmorphie.
prognathisme mandibulaire modéré sévère;Considérer une approche chirurgicale combinée à l'orthodontie pour corriger l'occlusion.;gpt4o;Considérer une approche chirurgicale combinée à l'orthodontie pour corriger l'occlusion.
prognathisme maxillaire;Évaluer la relation occlusale et envisager l'orthopédie fonctionnelle.;gpt4o;Évaluer la relation occlusale et envisager l'orthopédie fonctionnelle.
prognathisme maxillaire modéré;Surveillance régulière et évaluation pour plan de traitement adapté.;gpt4o;Surveillance régulière et évaluation pour plan de traitement adapté.
prognathisme maxillaire modéré sévère;Considérer la chirurgie orthognathique pour corriger l'occlusion.;gpt4o;Considérer la chirurgie orthognathique pour corriger l'occlusion.
prognathisme maxillaire sévère;Considérer chirurgie orthognathique pour corriger l'occlusion.;gpt4o;Considérer chirurgie orthognathique pour corriger l'occlusion.
protrusion;Surveillez l'occlusion et la fonction labiale. envisagez appareils pour rectifier l'alignement.;gpt4o;Surveillez l'occlusion et la fonction labiale. envisagez appareils pour rectifier l'alignement.
protrusion modérée unilatérale;Surveillance occlusion, envisager contentions asymétriques pour stabiliser.;gpt4o;Surveillance occlusion, envisager contentions asymétriques pour stabiliser.
prémolaire;Évaluer la position pour éviter l'encombrement et optimiser l'occlusion.;gpt4o;Évaluer la position pour éviter l'encombrement et optimiser l'occlusion.
quad helix;Aide à l'expansion maxillaire transverse, utile pour corriger les mordus croisés antérieurs.;gpt4o;Aide à l'expansion maxillaire transverse, utile pour corriger les mordus croisés antérieurs.
respiration buccale;La respiration buccale peut induire une malocclusion et altérer le développement facial.;gpt4o;La respiration buccale peut induire une malocclusion et altérer le développement facial.
respiration buccale modéré sévère;Surveillez occlusion et croissance maxillo-faciale, risque d'hypertrophie adénoïdienne.;gpt4o;Surveillez occlusion et croissance maxillo-faciale, risque d'hypertrophie adénoïdienne.
ressaut articulaire;Le ressaut articulaire indique souvent un dysfonctionnement de l'ATM à investiguer.;gpt4o;Le ressaut articulaire indique souvent un dysfonctionnement de l'ATM à investiguer.
rotation;Corriger la rotation par torque et bracketing précis pour alignement optimal.;gpt4o;Corriger la rotation par torque et bracketing précis pour alignement optimal.
récession gingivale;Surveillez l'hygiène buccale et ajustez les forces orthodontiques.;gpt4o;Surveillez l'hygiène buccale et ajustez les forces orthodontiques.
récidive;Surveillez la contention, ajustez si nécessaire pour éviter la récidive.;gpt4o;Surveillez la contention, ajustez si nécessaire pour éviter la récidive.
résorption radiculaire;Surveillez la résorption radiculaire via radiographies régulières. Ajustez les forces si nécessaire.;gpt4o;Surveillez la résorption radiculaire via radiographies régulières. Ajustez les forces si nécessaire.
rétroalvéolie;Surveillance nécessaire. rétroalvéolie peut induire occlusion classe II.;gpt4o;Surveillance nécessaire. rétroalvéolie peut induire occlusion classe II.
rétroalvéolie maxillaire sévère;Considérer expansion maxillaire et chirurgie orthognathique.;gpt4o;Considérer expansion maxillaire et chirurgie orthognathique.
rétrusion;La rétrusion nécessite une évaluation occlusale précise pour plan de traitement optimal.;gpt4o;La rétrusion nécessite une évaluation occlusale précise pour plan de traitement optimal.
rétrusion amovible;Utiliser une plaque active pour corriger la rétrusion dentaire.;gpt4o;Utiliser une plaque active pour corriger la rétrusion dentaire.
scanner intra-oral;Optimise la précision des empreintes numériques, réduit le temps de traitement.;gpt4o;Optimise la précision des empreintes numériques, réduit le temps de traitement.
spacing;Considérer un traitement interceptif pour optimiser l'alignement dentaire et prévenir les malocclusions.;gpt4o;Considérer un traitement interceptif pour optimiser l'alignement dentaire et prévenir les malocclusions.
stripping;Optimise l'espace d'alignement en réduisant sélectivement l'émail interproximal.;gpt4o;Optimise l'espace d'alignement en réduisant sélectivement l'émail interproximal.
succion;Surveillance nécessaire pour éviter malocclusions et déformations palatines.;gpt4o;Surveillance nécessaire pour éviter malocclusions et déformations palatines.
succion digitale;Surveillez la succion digitale : risque de malocclusion antérieure et déformation palatine.;gpt4o;Surveillez la succion digitale : risque de malocclusion antérieure et déformation palatine.
supraclusion;Supraclusion : réduction de l'overbite par meulage sélectif et alignement.;gpt4o;Supraclusion : réduction de l'overbite par meulage sélectif et alignement.
supraposition;La supraposition nécessite un ajustement pour éviter un contact prématuré occlusal.;gpt4o;La supraposition nécessite un ajustement pour éviter un contact prématuré occlusal.
supraposition central;Vérifier l'occlusion, ajuster l'appareil pour corriger la supraposition centrale.;gpt4o;Vérifier l'occlusion, ajuster l'appareil pour corriger la supraposition centrale.
tong e;Vérifier la posture linguale, évaluer pour une éventuelle déglutition atypique.;gpt4o;Vérifier la posture linguale, évaluer pour une éventuelle déglutition atypique.
torque;Le torque ajuste l'angulation radiculaire, essentiel pour l'esthétique et la fonction occlusale.;gpt4o;Le torque ajuste l'angulation radiculaire, essentiel pour l'esthétique et la fonction occlusale.
traitement interceptif;Le traitement interceptif prévient les malocclusions sévères à un stade précoce.;gpt4o;Le traitement interceptif prévient les malocclusions sévères à un stade précoce.
translation;La translation dentaire nécessite un contrôle optimal des forces appliquées.;gpt4o;La translation dentaire nécessite un contrôle optimal des forces appliquées.
transposition;La transposition complexe nécessite une planification minutieuse et souvent une approche multidisciplinaire.;gpt4o;La transposition complexe nécessite une planification minutieuse et souvent une approche multidisciplinaire.
urgence;Évaluer la douleur, vérifier l'appareil pour des fils ou brackets défectueux.;gpt4o;Évaluer la douleur, vérifier l'appareil pour des fils ou brackets défectueux.
ventilation nasale;Optimiser la ventilation nasale peut améliorer la fonction orofaciale et la croissance maxillo-faciale.;gpt4o;Optimiser la ventilation nasale peut améliorer la fonction orofaciale et la croissance maxillo-faciale.
ventilation nasale modéré sévère;Évaluer l'obstruction nasale, envisager rhinomanométrie et consultation ORL.;gpt4o;Évaluer l'obstruction nasale, envisager rhinomanométrie et consultation ORL.
version;La version désigne l'inclinaison angulaire d'une dent autour de son axe longitudinal.;gpt4o;La version désigne l'inclinaison angulaire d'une dent autour de son axe longitudinal.
vestibulo-version;Correction par expansion de l'arcade ou repositionnement segmentaire.;gpt4o;Correction par expansion de l'arcade ou repositionnement segmentaire.
vestibulo-version différée immédiate programmée totale;Planifiez la contention après vestibulo-version pour éviter les récidives.;gpt4o;Planifiez la contention après vestibulo-version pour éviter les récidives.
écarteur;Optimise l'espace pour alignement dentaire, réduit les encombrements et facilite l'hygiène buccale.;gpt4o;Optimise l'espace pour alignement dentaire, réduit les encombrements et facilite l'hygiène buccale.
édentation;Considérer une prothèse implantaire ou un bridge pour rétablir l'occlusion fonctionnelle.;gpt4o;Considérer une prothèse implantaire ou un bridge pour rétablir l'occlusion fonctionnelle.
élastiques intermaxillaires;Optimisent les mouvements dentaires, améliorent l'occlusion et la stabilité.;gpt4o;Optimisent les mouvements dentaires, améliorent l'occlusion et la stabilité.
