# tagssaisis.csv V1.0.7 - 13/12/2025 20:53:38;;;;;;;;
p;FS;macrognathie;;grande mâchoire,hyperplasie,grosse mâchoire,mâchoire trop grande,excès mandibulaire,excès maxillaire;mandibulaire|inférieur,maxillaire|supérieur;;grande mâchoire,grandes mâchoires,hyperplasie,hyperplasies,grosse mâchoire,grosses mâchoires,mâchoire trop grande,mâchoires trops grandes,excès mandibulaire,excès mandibulaires,excès maxillaire,excès maxillaires;mandibulaire|mandibulaires|inférieur|inférieuse|inférieurs|inférieuses,maxillaire|maxillaires|supérieur|supérieuse|supérieurs|supérieuses
p;FS;micrognathie;;petite mâchoire,hypoplasie,mâchoire trop petite,déficit mandibulaire,déficit maxillaire;mandibulaire|inférieur,maxillaire|supérieur;;petite mâchoire,petites mâchoires,hypoplasie,hypoplasies,mâchoire trop petite,mâchoires trops petites,déficit mandibulaire,déficits mandibulaires,déficit maxillaire,déficits maxillaires;mandibulaire|mandibulaires|inférieur|inférieuse|inférieurs|inférieuses,maxillaire|maxillaires|supérieur|supérieuse|supérieurs|supérieuses
#;;;;;;;;
# OCCLUSIONS;;;;;;;;
#;;;;;;;;
p;FS;occlusion croisée;;crossbite,morsure croisée,articulé croisé;;;crossbite,morsure croisée,morsures croisées,articulé croisé,articulés croisés;
p;FS;occlusion inversée;;morsure inversée,occlusion inverse,articulé inversé;antérieur|avant,postérieur|arrière,droit,gauche;;morsure inversée,morsures inversées,occlusion inverse,occlusions inverses,articulé inversé,articulés inversés;antérieur|antérieure|antérieurs|antérieures|avant|avante|avants|avantes,postérieur|postérieure|postérieurs|postérieures|arrière|arrières,droit|droite|droits|droites,gauche|gauches
p;FS;supraclusion;;deep bite,morsure profonde,overbite,recouvrement vertical excessif,supraocclusion;prononcé|marqué|sévère,total|complet;;deep bite,morsure profonde,morsures profondes,overbite,recouvrement vertical excessif,recouvrements verticaux excessifs,supraocclusion,supraocclusionne,supraocclusions,supraocclusionnes;prononcé|prononcée|prononcés|prononcées|marqué|marquée|marqués|marquées|sévère|sévères,total|totale|totaux|totales|complet|complète|complets|complètes
p;FS;infraclusion;;underbite,sous-occlusion antérieure;;;underbite,sous-occlusion antérieure,sous-occlusions antérieures;
#;;;;;;;;
# POSITIONS ET VERSIONS DENTAIRES;;;;;;;;
#;;;;;;;;
p;FS;version;;inclinaison,tipping,basculement,inclinaison dentaire,bascule,mouvement de version;;;inclinaison,inclinaisonne,inclinaisons,inclinaisonnes,tipping,tippingue,tippings,tippingues,basculement,basculemente,basculements,basculementes,inclinaison dentaire,inclinaisons dentaires,bascule,bascules,mouvement de version,mouvements des versions;
p;FS;vestibulo-version;;vestibuloversion,versé en vestibulaire,incliné vers la joue,incliné vers l'extérieur,vestibulo-position;;;vestibuloversion,versé en vestibulaire,versés ens vestibulaires,incliné vers la joue,inclinés vers las joues,incliné vers l'extérieur,inclinés vers l'extérieurs,vestibulo-position,vestibulo-positionne,vestibulo-positions,vestibulo-positionnes;
p;FS;linguo-version;;linguoversion,versé en lingual,incliné vers la langue,inclinaison linguale;;;linguoversion,versé en lingual,versés ens linguaux,incliné vers la langue,inclinés vers las langues,inclinaison linguale,inclinaisons linguales;
p;FS;égression;;extrusion,éruption,sortie dentaire,égression dentaire;;;extrusion,extrusionne,extrusions,extrusionnes,éruption,éruptionne,éruptions,éruptionnes,sortie dentaire,sorties dentaires,égression dentaire,égressions dentaires;
p;FS;ingression;;intrusion,enfoncement,intrusion dentaire,mouvement d'intrusion;;;intrusion,intrusionne,intrusions,intrusionnes,enfoncement,enfoncemente,enfoncements,enfoncementes,intrusion dentaire,intrusions dentaires,mouvement d'intrusion,mouvements d'intrusions;
p;FS;supraposition;;supra-position,dent en supraposition,dent trop haute,supra-éruption,éruption excessive;;;supra-position,supra-positionne,supra-positions,supra-positionnes,dent en supraposition,dents ens suprapositions,dent trop haute,dents trops hautes,supra-éruption,supra-éruptionne,supra-éruptions,supra-éruptionnes,éruption excessive,éruptions excessives;
p;FS;infraposition;;infra-position,dent en infraposition,dent trop basse,sous-éruption;;;infra-position,infra-positionne,infra-positions,infra-positionnes,dent en infraposition,dents ens infrapositions,dent trop basse,dents trops basses,sous-éruption,sous-éruptionne,sous-éruptions,sous-éruptionnes;
#;;;;;;;;
# MOUVEMENTS ORTHODONTIQUES;;;;;;;;
#;;;;;;;;
p;FS;distalisation;;recul,déplacement distal,mouvement de distalisation;;;recul,reculle,reculs,reculles,déplacement distal,déplacements distaux,mouvement de distalisation,mouvements des distalisations;
p;FS;mésialisation;;avancement,déplacement mésial,mouvement de mésialisation;;;avancement,avancemente,avancements,avancementes,déplacement mésial,déplacements mésiaux,mouvement de mésialisation,mouvements des mésialisations;
p;FS;translation;;mouvement,déplacement corporel,mouvement corporel,déplacement en bloc,bodily movement,translation dentaire;;;mouvement,mouvemente,mouvements,mouvementes,déplacement corporel,déplacements corporels,mouvement corporel,mouvements corporels,déplacement en bloc,déplacements ens blocs,bodily movement,bodilys movements,translation dentaire,translations dentaires;
p;MS;torque;;torsion radiculaire,rotation radiculaire,inclinaison radiculaire,angulation radiculaire,couple;;;torsion radiculaire,torsions radiculaires,rotation radiculaire,rotations radiculaires,inclinaison radiculaire,inclinaisons radiculaires,angulation radiculaire,angulations radiculaires,couple,couples;
#;;;;;;;;
# DÉVIATIONS ET ASYMÉTRIES;;;;;;;;
#;;;;;;;;
v;FS;asymétrie faciale;;visage asymétrique,déviation faciale;;;visage asymétrique,visages asymétriques,déviation faciale,déviations faciales;
v;FS;déviation mandibulaire;;décalage mandibulaire,déviation de la mandibule;droit,gauche;;décalage mandibulaire,décalages mandibulaires,déviation de la mandibule,déviations des las mandibules;droit|droite|droits|droites,gauche|gauches
v;FS;déviation maxillaire;;décalage dentaire,déviation de la ligne médiane;droit,gauche;;décalage dentaire,décalages dentaires,déviation de la ligne médiane,déviations des las lignes médianes;droit|droite|droits|droites,gauche|gauches
v;FS;latérodéviation mandibulaire;;déviation mandibulaire latérale,asymétrie mandibulaire;droit,gauche;;déviation mandibulaire latérale,déviations mandibulaires latérales,asymétrie mandibulaire,asymétries mandibulaires;droit|droite|droits|droites,gauche|gauches
v;FS;latérodéviation maxillaire;;déviation maxillaire latérale,asymétrie maxillaire;droit,gauche;;déviation maxillaire latérale,déviations maxillaires latérales,asymétrie maxillaire,asymétries maxillaires;droit|droite|droits|droites,gauche|gauches
#;;;;;;;;
# ATM ET ARTICULATION;;;;;;;;
#;;;;;;;;
v;FS;ATM;;articulation temporo-mandibulaire,troubles ATM,dysfonction temporo-mandibulaire,TMJ,TMD;;;articulation temporo-mandibulaire,articulations temporo-mandibulaires,troubles ATM,troubles ATMs,dysfonction temporo-mandibulaire,dysfonctions temporo-mandibulaires,TMJ,TMJe,TMJs,TMJes,TMD,TMDe,TMDs,TMDes;
v;FS;arthrite;;inflammation articulaire,arthropathie inflammatoire;infectieux|septique|bactérien,traumatique|post-traumatique;;inflammation articulaire,inflammations articulaires,arthropathie inflammatoire,arthropathies inflammatoires;infectieux|infectieuse|infectieuses|septique|septiques|bactérien|bactérienne|bactériens|bactériennes,traumatique|traumatiques|post-traumatique|post-traumatiques
v;FS;arthrose;;ostéoarthrite,arthropathie dégénérative,maladie articulaire dégénérative;;;ostéoarthrite,ostéoarthrites,arthropathie dégénérative,arthropathies dégénératives,maladie articulaire dégénérative,maladies articulaires dégénératives;
v;MS;claquement articulaire;;claquement ATM,clicking;droit,gauche,léger;;claquement ATM,claquements ATMs,clicking,clickingue,clickings,clickingues;droit|droite|droits|droites,gauche|gauches,léger|légère|légers|légères
v;MS;ressaut articulaire;;ressaut ATM,popping;droit,gauche;;ressaut ATM,ressauts ATMs,popping,poppingue,poppings,poppingues;droit|droite|droits|droites,gauche|gauches
v;FS;luxation;;luxation ATM,déplacement articulaire,dislocation;;;luxation ATM,luxations ATMs,déplacement articulaire,déplacements articulaires,dislocation,dislocationne,dislocations,dislocationnes;
v;FS;luxation méniscale;;déplacement du ménisque,luxation discale,trouble de l'atm;réductible;;déplacement du ménisque,déplacements dus ménisques,luxation discale,luxations discales,trouble de l'atm,troubles des l'atms;réductible|réductibles
#;;;;;;;;
# FONCTIONS;;;;;;;;
#;;;;;;;;
v;FS;apnée du sommeil;;sleep apnea,OSA,obstructive sleep apnea,syndrome d'apnées obstructives du sommeil,SAOS,ronflement;;;sleep apnea,sleeps apneas,OSA,OSAs,obstructive sleep apnea,obstructives sleeps apneas,syndrome d'apnées obstructives du sommeil,syndromes d'apnées obstructives dus sommeils,SAOS,SAOSse,SAOSses,ronflement,ronflemente,ronflements,ronflementes;
v;FS;déglutition;;avaler,swallowing,fonction de déglutition,acte de déglutition;atypique|primaire;;avaler,avalère,avalers,avalères,swallowing,fonction de déglutition,fonctions des déglutitions,acte de déglutition,actes des déglutitions;atypique|atypiques|primaire|primaires
v;FS;dysfonction linguale;;langue basse,position linguale basse,trouble de la déglutition,déglutition primaire,mauvaise position linguale;;;langue basse,langues basses,position linguale basse,positions linguales basses,trouble de la déglutition,troubles des las déglutitions,déglutition primaire,déglutitions primaires,mauvaise position linguale,mauvaises positions linguales;
v;FS;interposition linguale;;langue entre les dents,tongue thrust,béance par interposition,poussée linguale;;;langue entre les dents,langues entres les dents,tongue thrust,tongues thrusts,béance par interposition,béances pars interpositions,poussée linguale,poussées linguales;
v;FS;mastication;;mâcher,mastiquer,croquer,chewing,fonction masticatrice,fonction masticatoire;;;mâcher,mâchère,mâchers,mâchères,mastiquer,mastiquère,mastiquers,mastiquères,croquer,croquère,croquers,croquères,chewing,fonction masticatrice,fonctions masticatrices,fonction masticatoire,fonctions masticatoires;
v;FS;phonation;;parole,élocution,parler,speech,fonction phonatoire,articulation;;;parole,paroles,élocution,élocutionne,élocutions,élocutionnes,parler,parlère,parlers,parlères,speech,speeche,speechs,speeches,fonction phonatoire,fonctions phonatoires,articulation,articulationne,articulations,articulationnes;
v;FS;respiration buccale;;ventilation orale,bouche ouverte,mouth breathing,respirateur buccal,respiration orale,respiration par la bouche;;;ventilation orale,ventilations orales,bouche ouverte,bouches ouvertes,mouth breathing,mouths breathings,respirateur buccal,respirateurs buccaux,respiration orale,respirations orales,respiration par la bouche,respirations pars las bouches;
v;FS;ventilation nasale;;respiration nasale,nasal breathing,respiration par le nez;;;respiration nasale,respirations nasales,nasal breathing,nasaux breathings,respiration par le nez,respirations pars les nez;
#;;;;;;;;
# HABITUDES;;;;;;;;
#;;;;;;;;
v;FS;succion;;habitude de succion,pacifier,pouce,suce le pouce,sucer,sucotement,tétine;digital|pouce;;habitude de succion,habitudes des succions,pacifier,pacifière,pacifiers,pacifières,pouce,pouces,suce le pouce,suces les pouces,sucer,sucère,sucers,sucères,sucotement,sucotemente,sucotements,sucotementes,tétine,tétines;digital|digitale|digitaux|digitales|pouce|pouces
v;FS;onychophagie;;ronger les ongles,nail biting,se ronger les ongles;;;ronger les ongles,rongers les ongles,nail biting,nails bitings,se ronger les ongles,ses rongers les ongles;
#;;;;;;;;
# PROCÉDURES ET TRAITEMENTS;;;;;;;;
#;;;;;;;;
v;MS;alignement;;redressement,correction,straightening,alignement dentaire,alignement des dents;;;redressement,redressemente,redressements,redressementes,correction,correctionne,corrections,correctionnes,straightening,straighteningue,straightenings,straighteningues,alignement dentaire,alignements dentaires,alignement des dents,alignements des dents;
v;FS;chirurgie;;intervention,opération,surgery,chirurgie maxillaire,chirurgie mandibulaire,opération mâchoire,orthognathic surgery,chirurgie maxillo-faciale;;;intervention,interventionne,interventions,interventionnes,opération,opérationne,opérations,opérationnes,surgery,surgerys,chirurgie maxillaire,chirurgies maxillaires,chirurgie mandibulaire,chirurgies mandibulaires,opération mâchoire,opérations mâchoires,orthognathic surgery,orthognathics surgerys,chirurgie maxillo-faciale,chirurgies maxillo-faciales;
v;MS;détartrage;;nettoyage dentaire,prophylaxie,scaling,surfaçage;;;nettoyage dentaire,nettoyages dentaires,prophylaxie,prophylaxies,scaling,scalingue,scalings,scalingues,surfaçage,surfaçages;
v;FS;ostéotomie;;chirurgie des mâchoires,jaw surgery,chirurgie orthognathique,chirurgie bimaxillaire;;;chirurgie des mâchoires,chirurgies des mâchoires,jaw surgery,chirurgie orthognathique,chirurgies orthognathiques,chirurgie bimaxillaire,chirurgies bimaxillaires;
v;MS;stripping;;IPR,réduction interproximale,polissage interproximal,meulage,limage,réduction amélaire,slicing;;;IPR,IPRe,IPRs,IPRes,réduction interproximale,réductions interproximales,polissage interproximal,polissages interproximaux,meulage,meulages,limage,limages,réduction amélaire,réductions amélaires,slicing,slicingue,slicings,slicingues;
v;MS;traitement interceptif;;traitement précoce,early treatment,interception orthodontique;;;traitement précoce,traitements précoces,early treatment,earlys treatments,interception orthodontique,interceptions orthodontiques;
#;;;;;;;;
# MESURES CÉPHALOMÉTRIQUES;;;;;;;;
# ANB traités par angles !!!;;;;;;;;
#;;ANB;;angle ANB,relation intermaxillaire,décalage squelettique,mesure ANB,relation antéropostérieure,angle squelettique,relation maxillo-mandibulaire;;;angle ANB,relation intermaxillaire,relations intermaxillaires,décalage squelettique,décalages squelettiques,mesure ANB,mesures ANBs,relation antéropostérieure,relations antéropostérieures,angle squelettique,relation maxillo-mandibulaire,relations maxillo-mandibulaires;
#;;SNA;;angle SNA,position maxillaire,mesure SNA,position du maxillaire;;;angle SNA,position maxillaire,positions maxillaires,mesure SNA,mesures SNAs,position du maxillaire,positions dus maxillaires;
#;;SNB;;angle SNB,position mandibulaire,mesure SNB,position de la mandibule;;;angle SNB,position mandibulaire,positions mandibulaires,mesure SNB,mesures SNBs,position de la mandibule,positions des las mandibules;
#;;Wits;;appraisal de Wits,analyse de Wits,AO-BO,Wits appraisal,analyse Wits,mesure de Wits;;;appraisal de Wits,analyse de Wits,AO-BO,AO-BOs,Wits appraisal,analyse Wits,mesure de Wits;
p;FS;céphalométrie;;téléradiographie,téléradio,lateral ceph,profil,cephalo,radio de profil,télécrâne,radiographie de profil;;;téléradiographie,téléradiographies,téléradio,téléradios,lateral ceph,lateraux cephs,profil,profille,profils,profilles,cephalo,cephalos,radio de profil,radios des profils,télécrâne,télécrânes,radiographie de profil,radiographies des profils;
#;;;;;;;;
# IMAGERIE ET DIAGNOSTIC;;;;;;;;
#;;;;;;;;
v;MS;panoramique;;radio panoramique,orthopantomogramme,OPG,panorex,radio,radiographie,panoramique dentaire,radiographie panoramique;;;radio panoramique,radios panoramiques,orthopantomogramme,orthopantomogrammes,OPG,OPGue,OPGs,OPGues,panorex,panoresse,panoresses,radio,radios,radiographie,radiographies,panoramique dentaire,panoramiques dentaires,radiographie panoramique,radiographies panoramiques;
v;MS;scanner;;cone beam,CBCT,tomodensitométrie,cone beam CT,3D,imagerie 3D,scan 3D,tomographie;;;cone beam,cones beams,CBCT,CBCTe,CBCTs,CBCTes,tomodensitométrie,tomodensitométries,cone beam CT,cones beams CTs,3D,imagerie 3D,scan 3D,tomographie,tomographies;
v;MS;scanner intra-oral;;empreinte numérique,digital impression,scan numérique;;;empreinte numérique,empreintes numériques,digital impression,digitaux impressions,scan numérique,scans numériques;
v;FS;empreinte;;prise d'empreinte,moulage,impression,alginate,empreinte dentaire;;;prise d'empreinte,prises d'empreintes,moulage,moulages,impression,impressionne,impressions,impressionnes,alginate,alginates,empreinte dentaire,empreintes dentaires;
#;;;;;;;;
# DENTS ET ARCADES;;;;;;;;
#;;;;;;;;
v;FS;arcade;;arcade dentaire,arc dentaire,dental arch;maxillaire|supérieur,mandibulaire|inférieur;;arcade dentaire,arcades dentaires,arc dentaire,arcs dentaires,dental arch,dentaux archs;maxillaire|maxillaires|supérieur|supérieuse|supérieurs|supérieuses,mandibulaire|mandibulaires|inférieur|inférieuse|inférieurs|inférieuses
v;FS;canine;;croc,cuspide,dent canine,dent de loup;inclus;;croc,croque,crocs,croques,cuspide,cuspides,dent canine,dents canines,dent de loup,dents des loups;inclus|inclusse|inclusses
v;FS;incisive;;dent de devant,dents de devant;central,latéral;;dent de devant,dents des devants,dents de devant;central|centrale|centraux|centrales,latéral|latérale|latéraux|latérales
v;FS;molaire;;grosse dent,dent du fond,sixième,douzième,molaire de six ans,molaire de douze ans;premier|première,deuxième;;grosse dent,grosses dents,dent du fond,dents dus fonds,sixième,sixièmes,douzième,douzièmes,molaire de six ans,molaires des six ans,molaire de douze ans,molaires des douzes ans;premier|première|premiers|premières,deuxième|deuxièmes
v;FS;prémolaire;;premolaire,bicuspide,quatrième,cinquième,petite molaire;premier|première,deuxième;;premolaire,premolaires,bicuspide,bicuspides,quatrième,quatrièmes,cinquième,cinquièmes,petite molaire,petites molaires;premier|première|premiers|premières,deuxième|deuxièmes
#;;;;;;;;
# DENTITIONS;;;;;;;;
#;;;;;;;;
v;FS;dentition mixte;;mixed dentition,denture mixte,dentition transitionnelle;;;mixed dentition,mixeds dentitions,denture mixte,dentures mixtes,dentition transitionnelle,dentitions transitionnelles;
v;FS;dentition permanente;;dents définitives,dents d'adulte,permanent dentition,denture permanente,dentition adulte;;;dents définitives,dents d'adulte,dents d'adultes,permanent dentition,permanents dentitions,denture permanente,dentures permanentes,dentition adulte,dentitions adultes;
v;FS;dentition temporaire;;dents de lait,dents de bébé,primary dentition,deciduous,dents lactéales,dents primaires,denture temporaire;;;dents de lait,dents des laits,dents de bébé,dents des bébés,primary dentition,primarys dentitions,deciduous,deciduousse,deciduousses,dents lactéales,dents primaires,denture temporaire,dentures temporaires;
#;;;;;;;;
# DIVERS CLINIQUES;;;;;;;;
#;;;;;;;;
v;FS;croissance;;développement,grandir,growth,maturation;pic|pubertaire;;développement,développemente,développements,développementes,grandir,grandire,grandirs,grandires,growth,maturation,maturationne,maturations,maturationnes;pic|pique|pics|piques|pubertaire|pubertaires
v;FS;DDM;;dysharmonie,discrepance,dysharmonie dentaire,dysmorphose,dysharmonie dento-maxillaire;sévère|++;;dysharmonie,dysharmonies,discrepance,discrepances,dysharmonie dentaire,dysharmonies dentaires,dysmorphose,dysmorphoses,dysharmonie dento-maxillaire,dysharmonies dento-maxillaires;sévère|sévères|++|++s
v;FS;douleur;;mal,pain,souffrir,inconfort,sensibilité,douleur dentaire;;;mal,male,maux,males,pain,paine,pains,paines,souffrir,souffrire,souffrirs,souffrires,inconfort,inconforte,inconforts,inconfortes,sensibilité,sensibilitée,sensibilités,sensibilitées,douleur dentaire,douleurs dentaires;
v;FS;hygiène;;nettoyage,brossage,cleaning,hygiène bucco-dentaire,hygiène dentaire;;;nettoyage,nettoyages,brossage,brossages,cleaning,cleaningue,cleanings,cleaningues,hygiène bucco-dentaire,hygiènes bucco-dentaires,hygiène dentaire,hygiènes dentaires;
v;FS;proglissement mandibulaire;;proglissement,glissement mandibulaire,déviation mandibulaire fonctionnelle,proglissement fonctionnel;;;proglissement,proglissemente,proglissements,proglissementes,glissement mandibulaire,glissements mandibulaires,déviation mandibulaire fonctionnelle,déviations mandibulaires fonctionnelles,proglissement fonctionnel,proglissements fonctionnels;
v;MS;surplomb;;recouvrement horizontal,décalage horizontal,overjet,surjet;;;recouvrement horizontal,recouvrements horizontaux,décalage horizontal,décalages horizontaux,overjet,surjet,surjète,surjets,surjètes;
#;;;;;;;;
# AUTRES;;;;;;;;
#;;;;;;;;
v;FS;consultation;;rendez-vous,appointment,visite,consulter,examen orthodontique;;;rendez-vous,rendez-vousse,rendez-vousses,appointment,appointmente,appointments,appointmentes,visite,visites,consulter,consultère,consulters,consultères,examen orthodontique,examens orthodontiques;
v;MS;contrôle;;suivi,follow-up,monitoring,surveiller,visite de contrôle;;;suivi,suivie,suivis,suivies,follow-up,monitoring,monitoringue,monitorings,monitoringues,surveiller,surveillère,surveillers,surveillères,visite de contrôle,visites des contrôles;
v;MS;débandage;;bracket décollé,bague qui tombe,loose bracket,attache décollée;;;bracket décollé,brackets décollés,bague qui tombe,bagues quis tombes,loose bracket,looses brackets,attache décollée,attaches décollées;
v;MS;fil qui pique;;fil qui blesse,wire poking,irritation,fil saillant,fil qui dépasse;;;fil qui blesse,fils quis blesses,wire poking,irritation,irritationne,irritations,irritationnes,fil saillant,fils saillants,fil qui dépasse,fils quis dépasses;
v;FS;urgence;;urgence orthodontique,emergency,problème,urgent,cas urgent;;;urgence orthodontique,urgences orthodontiques,emergency,emergencys,problème,problèmes,urgent,urgente,urgents,urgentes,cas urgent,cas urgents;
#;;;;;;;;
# LIGNES DOUTEUSES - À VÉRIFIER MANUELLEMENT;;;;;;;;
#;;;;;;;;
p;FS;prognathie;;avancée,en avant,projection;;;avancée,avancées,en avant,ens avants,projection,projectionne,projections,projectionnes;
p;FS;rétrognathie;;en arrière,reculée,rétrognathe,rétroposition;;;en arrière,ens arrières,reculée,reculées,rétrognathe,rétrognathes,rétroposition,rétropositionne,rétropositions,rétropositionnes;
p;FS;protrusion;;avancement excessif,projection en avant,proclusion;;;avancement excessif,avancements excessifs,projection en avant,projections ens avants,proclusion,proclusionne,proclusions,proclusionnes;
p;FS;rétrusion;;;;;;
t;MS;NiTi;;nitinol,nickel-titane,superélastique,fil NiTi,fil thermoactif;;;nitinol,nitinole,nitinols,nitinoles,nickel-titane,nickel-titanes,superélastique,superélastiques,fil NiTi,fils NiTis,fil thermoactif,fils thermoactifs;
t;MS;métal;;acier,steel,titanium,titane,métallique,métal inoxydable;;;acier,acière,aciers,acières,steel,steelle,steels,steelles,titanium,titaniume,titaniums,titaniumes,titane,titanes,métallique,métalliques,métal inoxydable,métaux inoxydables;
t;MS;composite;;résine composite,resin composite,restauration en composite;;;résine composite,résines composites,resin composite,resins composites,restauration en composite,restaurations ens composites;
t;MS;spacing;;;;;;
################;;;;;;;;
#  WORK : utilisé pour mutualiser et servir de référence à des adjectifs donnés dans des commentaires;;;;;;;;
# ;FS;sévère;;;sévère|grave|marqué|important|majeur|complexe;;;
# ;FS;modéré;;;modéré|léger|bénin;;;
# ;;sm;;;sévère|grave|marqué|important|majeur|complexe,modéré|léger|bénin;;;
